group,mode,build,repeat,generate_seconds,actual_tokens,outputs_sha256,rng_after_sha256
0,B,reference,0,6.326423060148954,1287,9820fed1bfbad6a4902825a59533bb08c6946e57f9dcd17ee12e0af9d70131a9,801971bffd6f67a2aa8bdcb92a9296d01775e173d3d7194357790c43136170bf
0,B,reference,1,6.325444822898135,1287,9820fed1bfbad6a4902825a59533bb08c6946e57f9dcd17ee12e0af9d70131a9,801971bffd6f67a2aa8bdcb92a9296d01775e173d3d7194357790c43136170bf
0,B,repair,0,6.2275888591539115,1287,9820fed1bfbad6a4902825a59533bb08c6946e57f9dcd17ee12e0af9d70131a9,801971bffd6f67a2aa8bdcb92a9296d01775e173d3d7194357790c43136170bf
0,B,repair,1,6.225907874992117,1287,9820fed1bfbad6a4902825a59533bb08c6946e57f9dcd17ee12e0af9d70131a9,801971bffd6f67a2aa8bdcb92a9296d01775e173d3d7194357790c43136170bf
0,N,reference,0,16.30726994597353,1259,d415c6a4826849e764e967e2e713cfb2d3aff122629af810b5db6fe878ebac79,c695f6171be1265f81de2441014c816e9299df0507fbf5dc72d6ec0b755c5905
0,N,reference,1,16.30566914798692,1259,d415c6a4826849e764e967e2e713cfb2d3aff122629af810b5db6fe878ebac79,c695f6171be1265f81de2441014c816e9299df0507fbf5dc72d6ec0b755c5905
0,N,repair,0,10.903459022985771,1259,d415c6a4826849e764e967e2e713cfb2d3aff122629af810b5db6fe878ebac79,c695f6171be1265f81de2441014c816e9299df0507fbf5dc72d6ec0b755c5905
0,N,repair,1,10.86937367497012,1259,d415c6a4826849e764e967e2e713cfb2d3aff122629af810b5db6fe878ebac79,c695f6171be1265f81de2441014c816e9299df0507fbf5dc72d6ec0b755c5905
0,S0,reference,0,12.236914638895541,1207,5e87a32a669fbd1e6e2ce655db9b5beddfe022c42813f8ae1a8cdb3a5f65026f,8fa0ac53a9bad8b7190f02a1c0a8bfcaaaad7d2bbbfebfbb7ac1944c7d998da8
0,S0,reference,1,12.170451593119651,1207,5e87a32a669fbd1e6e2ce655db9b5beddfe022c42813f8ae1a8cdb3a5f65026f,8fa0ac53a9bad8b7190f02a1c0a8bfcaaaad7d2bbbfebfbb7ac1944c7d998da8
0,S0,repair,0,6.766956289997324,1207,5e87a32a669fbd1e6e2ce655db9b5beddfe022c42813f8ae1a8cdb3a5f65026f,8fa0ac53a9bad8b7190f02a1c0a8bfcaaaad7d2bbbfebfbb7ac1944c7d998da8
0,S0,repair,1,6.76252698013559,1207,5e87a32a669fbd1e6e2ce655db9b5beddfe022c42813f8ae1a8cdb3a5f65026f,8fa0ac53a9bad8b7190f02a1c0a8bfcaaaad7d2bbbfebfbb7ac1944c7d998da8
0,S1,reference,0,12.001855179201812,1207,5e87a32a669fbd1e6e2ce655db9b5beddfe022c42813f8ae1a8cdb3a5f65026f,8fa0ac53a9bad8b7190f02a1c0a8bfcaaaad7d2bbbfebfbb7ac1944c7d998da8
0,S1,reference,1,11.98798413015902,1207,5e87a32a669fbd1e6e2ce655db9b5beddfe022c42813f8ae1a8cdb3a5f65026f,8fa0ac53a9bad8b7190f02a1c0a8bfcaaaad7d2bbbfebfbb7ac1944c7d998da8
0,S1,repair,0,6.63847657898441,1207,5e87a32a669fbd1e6e2ce655db9b5beddfe022c42813f8ae1a8cdb3a5f65026f,8fa0ac53a9bad8b7190f02a1c0a8bfcaaaad7d2bbbfebfbb7ac1944c7d998da8
0,S1,repair,1,6.642335457028821,1207,5e87a32a669fbd1e6e2ce655db9b5beddfe022c42813f8ae1a8cdb3a5f65026f,8fa0ac53a9bad8b7190f02a1c0a8bfcaaaad7d2bbbfebfbb7ac1944c7d998da8
1,B,reference,0,5.032566985813901,690,96713d4f6b7c6880cae9e23f2b63aa92303698176ee21fe5ec87fffbf5601e94,38a5d75e46930608dd2dd7a7420ee1f1c3cea747f4f169c643f78beeb7c99e59
1,B,reference,1,5.035779065918177,690,96713d4f6b7c6880cae9e23f2b63aa92303698176ee21fe5ec87fffbf5601e94,38a5d75e46930608dd2dd7a7420ee1f1c3cea747f4f169c643f78beeb7c99e59
